Id_employee,First_name,Last_name,Full_name,Genre,Birthdate,Age,Location, Civil_status , Phone ,Email
1001,LIAM,SMITH,LIAM SMITH,M,17/03/1978,45,"Basilea, Switzerland",S,9505405,LIAM SMITH@gmail.com
1002,NOAH,JOHNSON,NOAH JOHNSON,M,04/07/1998,25,"Zurich, Switzerland",C,9734761,NOAH JOHNSON@gmail.com
1003,OLIVER,WILLIAMS,OLIVER WILLIAMS,M,30/05/1978,45,"Lyon, France",S,9593611,OLIVER WILLIAMS@gmail.com
1004,ELIJAH,BROWN,ELIJAH BROWN,M,06/09/1985,38,"Lyon, France",C,9466722,ELIJAH BROWN@gmail.com
1005,WILLIAM,JONES,WILLIAM JONES,M,21/02/1977,46,"Touluse, France",C,9621580,WILLIAM JONES@gmail.com
1006,JAMES,GARCIA,JAMES GARCIA,M,19/12/1978,45,"Zurich, Switzerland",O,9670957,JAMES GARCIA@gmail.com
1007,BENJAMIN,MILLER,BENJAMIN MILLER,M,08/10/2002,21,"Madrid, Spain",O,9740553,BENJAMIN MILLER@gmail.com
1008,LUCAS,DAVIS,LUCAS DAVIS,M,22/06/1986,37,"Touluse, France",S,8826230,LUCAS DAVIS@gmail.com
1009,HENRY,RODRIGUEZ,HENRY RODRIGUEZ,M,28/07/1999,24,"Basilea, Switzerland",S,9480184,HENRY RODRIGUEZ@gmail.com
1010,ALEXANDER,MARTINEZ,ALEXANDER MARTINEZ,M,22/01/1998,25,"Ginebra, Switzerland",C,9439724,ALEXANDER MARTINEZ@gmail.com
1011,MASON,HERNANDEZ,MASON HERNANDEZ,M,08/03/1995,28,"Madrid, Spain",S,9212559,MASON HERNANDEZ@gmail.com
1012,MICHAEL,LOPEZ,MICHAEL LOPEZ,M,26/11/1990,33,"Madrid, Spain",C,9850947,MICHAEL LOPEZ@gmail.com
1013,ETHAN,GONZALES,ETHAN GONZALES,M,01/06/1992,31,"Madrid, Spain",C,9529734,ETHAN GONZALES@gmail.com
1014,DANIEL,WILSON,DANIEL WILSON,M,05/04/2004,19,"Basilea, Switzerland",C,8726025,DANIEL WILSON@gmail.com
1015,JACOB,ANDERSON,JACOB ANDERSON,M,12/06/1986,37,"Touluse, France",C,9762528,JACOB ANDERSON@gmail.com
1016,LOGAN,THOMAS,LOGAN THOMAS,M,09/03/2002,21,"Lyon, France",O,9199596,LOGAN THOMAS@gmail.com
1017,JACKSON,TAYLOR,JACKSON TAYLOR,M,22/01/1970,53,"Touluse, France",S,9390432,JACKSON TAYLOR@gmail.com
1018,LEVI,MOORE,LEVI MOORE,M,08/02/2002,21,"Basilea, Switzerland",O,9614580,LEVI MOORE@gmail.com
1019,SEBASTIAN,JACKSON,SEBASTIAN JACKSON,M,20/04/1984,39,"Madrid, Spain",O,8901398,SEBASTIAN JACKSON@gmail.com
1020,MATEO,MARTIN,MATEO MARTIN,M,04/07/1998,25,"Basilea, Switzerland",C,9855870,MATEO MARTIN@gmail.com
1021,JACK,LEE,JACK LEE,M,25/04/1990,33,"Zurich, Switzerland",C,9378613,JACK LEE@gmail.com
